School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
St Michael's School,Traralgon,Non-Government Schools Capital Fund,Non-government grants,146.5346836,-38.1957146
"St Mina & St Marina Child Care, Multipurpose & Chapel Centre",Hallam,Building Blocks Capacity Grant - Expansion,Early childhood projects,145.2861559,-38.0050871
St Monica's College,Epping,Non-Government Schools Capital Fund,Non-government grants,145.0299811,-37.65091719999999
St Monica's Primary School (Moonee Ponds),Moonee Ponds,Building Fund for Non-Government Schools - Catholic,Non-government grants,144.9225892,-37.7597232
St Monica's School (Wodonga West),Wodonga,Non-Government Schools Capital Fund - 2022–23,Non-government grants,146.8725086,-36.1276042
St Oliver Plunkett Primary School,Pascoe Vale,Non-Government Schools Capital Fund,Non-government grants,144.942211,-37.7303367
St Oscar Romero Catholic Primary School (Drouin),Drouin,Building Fund for Non-Government Schools – Catholic | Building Fund for Non-Government Schools – Catholic,Non-government grants,145.8541424,-38.1330388
St Padre Pio Catholic Children’s Hub,Thornhill Park,Building Blocks Partnership,Early childhood projects,144.6259474,-37.7300861
St Padre Pio Catholic Primary School,Thornhill Park,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.6259474,-37.7300861
St Patrick's College Ballarat,Newington,Non-Government Schools Capital Fund - 2020-21,Non-government grants,143.8316183,-37.5592613
St Patrick's Primary School,Kilmore,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,144.9469004,-37.2982963
St Patrick's School (Geelong West),Geelong West,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.3462314,-38.1349643
St Patrick's School (Koroit),Koroit,Non-Government Schools Capital Fund,Non-government grants,142.3673185,-38.2921758
St Patrick's School (Mentone),Mentone,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.0693175,-37.9831299
St Patrick's School (St Arnaud),St Arnaud,Non-Government Schools Capital Fund - 2022–23,Non-government grants,143.2464797,-36.617093
St Patrick's School (Stawell),Stawell,Building Fund for Non-Government Schools – Catholic,Non-government grants,142.7872596,-37.0594308
St Patrick's School (Wangaratta),Wangaratta,Non-Government Schools Capital Fund - 2020-21,Non-government grants,146.3218443,-36.3561694
St Paul the Apostle Catholic Primary School,Doreen,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.1155301,-37.5967969
St Paul's Anglican Grammar School,Warragul,Non-Government Schools Capital Fund - Warragul Junior School | Non-Government Schools Capital Fund - Senior School | Non-Government Schools Capital Fund,Non-government grants,145.9304883,-38.147536
St Paul's Anglican Grammar School Early Learning Centre,Warragul,Building Blocks Capacity Grant - New Early Learning Facility - Drouin Campus | Building Blocks Capacity Grant - Expansion - Traralgon Campus | Building Blocks Capacity Grant - Expansion | Early Learning Facilities Upgrade,Early childhood projects,145.9304883,-38.147536
St Paul's Anglican Grammar School – Drouin campus,Drouin,Building Fund for Non-Government Schools – Independent,Non-government grants,145.9304883,-38.147536
St Paul's Lutheran Kindergarten,Grovedale,Building Blocks Capacity Grant - Expansion,Early childhood projects,144.3393222,-38.207694
St Paul's Primary School (Kealba),Kealba,Non-Government Schools Capital Fund - 2022–23,Non-government grants,144.8197288,-37.7339484
St Paul's School (Bentleigh),Bentleigh,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.041332,-37.922602
St Paul's School (Coburg),Coburg,Non-Government Schools Capital Fund,Non-government grants,144.9676477,-37.7386793
St Peter's College,Cranbourne,Non-Government Schools Capital Fund | Non-Government Schools Capital Fund - 2019-20,Non-government grants,145.2569985,-38.1085819
St Peter's Kindergarten Inc,Brighton,Building Blocks Inclusion Grant | Building Blocks Inclusion Grant,Early childhood projects,144.9968337,-37.9249592
St Peter's School,Epping,Non-Government Schools Capital Fund,Non-government grants,145.0288402,-37.6505556
St Peter's School (Bendigo North),Long Gully,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.272621,-36.7436829
St Peter's School (Clayton),Clayton,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.121582,-37.92313
St Peter's School (Keilor East),Keilor East,Building Fund for Non-Government Schools - Catholic,Non-government grants,144.8595655,-37.7444265
St Peter's School Bentleigh,Bentleigh East,Non-Government Schools Capital Fund,Non-government grants,145.0707152,-37.9228167
St Richard's Primary School,Kilsyth,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.3224038,-37.8059623
St Teresa of Kolkata Catholic Primary School,Tarneit North,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - New School,Non-government grants,144.6861324,-37.8233853
St Teresa of Kolkata Children's Hub (Tarneit),Tarneit,Building Blocks Partnership,Early childhood projects,144.6861324,-37.8233853
St Therese's School (Cranbourne),Cranbourne,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.2673844,-38.0773076
St Thomas More's School (Hadfield),Hadfield,Non-Government Schools Capital Fund – 2022–23,Non-government grants,144.944708,-37.70770470000001
St Thomas the Apostle Catholic Primary School,Cranbourne East,Non-Government Schools Capital Fund,Non-government grants,145.3163909,-38.1157951
St Thomas the Apostle School (Greensborough North),Greensborough North,Non-Government Schools Capital Fund,Non-government grants,145.119049,-37.6824951
St Thomas' School (Terang),Terang,Building Fund for Non-Government Schools – Catholic,Non-government grants,142.9099938,-38.2396448
Staughton College,Melton South,Upgrade and Modernisation - more places for local students | Upgrade and Modernisation,School upgrades,144.568661,-37.708452
Stawell Primary School,Stawell,Minor Capital Works Fund | Inclusive Schools Fund - Round 7,School upgrades,142.7737759,-37.0561614
Stawell Secondary College,Stawell,Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 1,School upgrades,142.7901581,-37.0618616
Stawell West Primary School,Stawell,Upgrade and Modernisation | Inclusive Schools Fund – Round 8 | Minor Capital Works Fund - Round 2,School upgrades,142.7713287,-37.0657005
Stewarts Lane Preschool,Sunbury,Early Learning Facility Upgrade,Early childhood projects,144.7136057,-37.56644
Stratford Primary School,Stratford,Inclusive Schools Fund - Round 9,School upgrades,147.085327,-37.96749
Strathaird Primary School,Narre Warren South,Upgrade and Modernisation | School Improvement Fund,School upgrades,145.2862723,-38.0625995
Strathcona Early Learning Centre,Canterbury,Building Blocks Inclusion Grant,Early childhood projects,145.0801531,-37.8299494
Strathfieldsaye Primary School,Strathfieldsaye,Inclusive Schools Fund - Round 6,School upgrades,144.3531706,-36.804271
Strathmerton Primary School,Strathmerton,Upgrade and Modernisation,School upgrades,145.4788746,-35.9239669
Strathmore North Primary School,Strathmore,Upgrade and Modernisation | Inclusive Schools Fund – Round 8,School upgrades,144.9175787,-37.7243793
Strathmore Primary School,Strathmore,Upgrade and Modernisation,School upgrades,144.9168375,-37.7353167
Strathmore Secondary College,Strathmore,"Upgrade and Modernisation - New Three-Storey Building, General Purpose Classrooms, Specialist Science, Chemistry & Food Technology Facilities | Upgrade and Modernisation - New Arts, Science & Physics Building",School upgrades,144.9284432,-37.7393407
Strathtulloh Primary School,Strathtulloh,Upgrade and Modernisation – expansion | New School,"School upgrades, New schools",144.5898742,-37.7167816
Streeton Primary School,Yallambie,Upgrade and Modernisation,School upgrades,145.101654,-37.7214698
Sunbury And Macedon Ranges Specialist School,Sunbury,"New School Campus – Sunbury | Upgrade and Modernisation – Bullengarook Senior Campus | Upgrade and Modernisation, Planned Maintenance Program - Sunbury Campus",School upgrades,144.7290082,-37.5962693
Sunbury College,Sunbury,Inclusive Schools Fund - Round 7 | Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,144.7301304,-37.5742104
Sunbury College Kindergarten (interim name),Sunbury,Kindergarten on a School Site,Early childhood projects,144.7301304,-37.5742104
Sunbury Downs Secondary College,Sunbury,Upgrade and Modernisation | Planned Maintenance Program | Minor Capital Works Fund,School upgrades,144.7057963,-37.5842088
Sunbury Heights Primary School,Sunbury,Minor Capital Works Fund - Round 2 | Upgrade and Modernisation,School upgrades,144.7061386,-37.5813878
Sunbury Primary School,Sunbury,Upgrade and Modernisation,School upgrades,144.7277285,-37.5969217
Sunbury West Primary School,Sunbury,Upgrade and Modernisation | School Improvement Fund,School upgrades,144.7140472,-37.5748006
Sundowner Kindergarten,Clarinda,Early Learning Facility Upgrade,Early childhood projects,145.1077215,-37.9438828
Sunnyside Kindergarten Association,Malvern East,Building Blocks Inclusion Grant,Early childhood projects,145.06676,-37.880027
Sunshine College,Sunshine North,"Upgrade and Modernisation – new learning building | Upgrade and Modernisation, Planned Maintenance Program, School Pride and Sports Fund",School upgrades,144.8411512,-37.774468
Sunshine Harvester Primary School,Sunshine,Inclusive Schools Fund - Round 9,School upgrades,144.8454506,-37.7834412
Sunshine Heights Primary School,Sunshine,Schools Upgrade Fund | Inclusive Schools Fund - Round 6,School upgrades,144.8184109,-37.792374
Sunshine North Kindergarten,Sunshine North,Building Blocks Capacity Grant - Modular Kinder,Early childhood projects,144.837926,-37.77597919999999
Sunshine North Primary School,Sunshine North,Upgrade and Modernisation,School upgrades,144.8372802,-37.7720565
Sunshine Primary School,Sunshine,Upgrade and Modernisation,School upgrades,144.8309729,-37.7907024
Sunshine Special Developmental School,Sunshine,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.8199554,-37.8034103
Surf Coast Shire Council Kindergarten Infrastructure Planning Project,Anglesea,Building Blocks Planning Grant,Early childhood projects,144.1989439,-38.39926760000001
Surfside Primary School,Ocean Grove,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.5418245,-38.2611658
,,Minor Capital Works Fund,School upgrades,143.3906074,-36.9847807
Sutton Avenue Kindergarten,Altona North,Building Blocks Capacity Grant – Modular Kindergarten,Early childhood projects,144.8588896,-37.8370652
Swan Hill North Kindergarten,Swan Hill,Building Blocks Capacity Grant - Modular Kindergarten,Early childhood projects,143.5461488,-35.3313818
Swan Hill North Primary School,Swan Hill,Upgrade and Modernisation,School upgrades,143.5461488,-35.3313818
Swan Hill Primary School,Swan Hill,Inclusive Schools Fund - Round 6 | Upgrade and Modernisation,School upgrades,143.5432978,-35.346424
Swan Hill Specialist School,Swan Hill,Upgrade and Modernisation – Stage 2 | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,143.54547,-35.3493508
Swanston Street Children's Centre,Carlton,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9641759,-37.7997384
Swifts Creek P-12 School,Swifts Creek,Schools Upgrade Fund,School upgrades,147.7240729,-37.2664465
Swifts Creek Uniting Early Learning,Swifts Creek,Modular Kindergarten,Early childhood projects,147.7239199,-37.2667004
Swinburne Avenue Childrens Centre,Gisborne,Building Blocks Inclusion Grant | Early Learning Facility Upgrade | Early Learning Facility Upgrade,Early childhood projects,144.5855716,-37.47633709999999
Swinburne Children's Centre - Croydon,Croydon,Early Learning Facility Upgrade,Early childhood projects,145.285263,-37.8008651
Swinburne Children's Centre - Lilydale,Lilydale,New Early Learning Facility,Early childhood projects,145.299385,-37.796658
Swinburne Senior Secondary College,Hawthorn East,Upgrade and Modernisation,School upgrades,145.0409479,-37.822903
Sydenham-Hillside Primary School,Sydenham,Upgrade and Modernisation – Hillside and Sydenham Campuses | Minor Capital Works Fund – Hillside Campus | Minor Capital Works Fund – Sydenham Campus,School upgrades,144.7624271,-37.701948
Sydney Road Community School,Brunswick,Upgrade and Modernisation,School upgrades,144.9625011,-37.7718734
Syndal Preschool,Glen Waverley,Building Blocks Inclusion Grant,Early childhood projects,145.1486622,-37.874344
Syndal South Primary School,Mount Waverley,Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1434161,-37.8797766
Szalmuk Family Early Learning Centre,St Kilda East,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0023324,-37.87438909999999
Talbot Primary School,Talbot,Inclusive Schools Fund – Round 9,School upgrades,143.7035751,-37.168783
